Country Name,Country Code,region,"2020 [YR2020] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2020 [YR2020] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population ages 65 and above, total [SP.POP.65UP.TO]",2020 [YR2020] - Population density (people per sq. km of land area) [EN.POP.DNST],2020 [YR2020] - Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],2020 [YR2020] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2020 [YR2020] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2020 [YR2020] - Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"2020 [YR2020] - Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","2020 [YR2020] - Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","2020 [YR2020] - Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","2020 [YR2020] - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",2020 [YR2020] - Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"2020 [YR2020] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Italy,ITA,Europe & Central Asia,43144.40642,82.19512195,3.9477,59438851,13892091,200.9991005,15.6,28.961,71.039,23.1,19.5,26.6,4.441949844,52.4560318,7.32908154,9.16
Jamaica,JAM,Latin America & Caribbean,9724.163469,71.869,..,2820436,198631,260.4280702,..,43.689,56.311,9.4,3.8,15,5.61749506,..,4.49590921,6.5
Japan,JPN,East Asia & Pacific,41683.91558,84.56,..,126261000,37352017,346.3950617,..,8.218,91.782,20.1,10,30.1,3.416980982,85.17671204,9.18607235,2.81
Jordan,JOR,Middle East & North Africa,9698.43367,75.184,..,10928721,394798,123.0794986,..,8.582,91.418,34.8,12.8,56.8,..,50.2436409,3.71250176,19.21
Kazakhstan,KAZ,Europe & Central Asia,26782.10018,71.37,4.0712,18755666,1471205,6.947314887,..,42.329,57.671,23.2,6.7,39.6,4.446203709,..,2.50674272,4.89
Kenya,KEN,Sub-Saharan Africa,4749.276967,62.675,..,51985780,1457202,91.34093545,10.4,72.005,27.995,11.1,2.7,19.5,4.628155708,29.37517929,2.03427505,..
Kiribati,KIR,East Asia & Pacific,2003.323401,67.266,..,126463,4661,156.1271605,..,44.406,55.594,40.6,27.3,53.9,..,..,9.29323101,10.97
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,..,73.274,..,25867467,2871534,214.8282286,..,37.619,62.381,17.4,0,34.8,..,..,..,..
"Korea, Rep.",KOR,East Asia & Pacific,44694.7337,83.42682927,..,51836239,8205194,531.1090061,..,18.586,81.414,20.8,5.9,35.7,4.801720142,..,5.10320282,3.93
Kosovo,XKX,Europe & Central Asia,11306.22556,76.567,..,1790133,173450,..,..,..,..,..,..,..,..,..,..,25.46
